wall_ms,raw_message
946686410320,"type=mission,x_or_task=1,y_or_landing=1,yaw=0,hex=AA FF 02 02 01 01 AF,reason=normal"
946686410356,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=normal"
946686410406,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=normal"
946686410418,"type=mission,x_or_task=1,y_or_landing=1,yaw=0,hex=AA FF 02 02 01 01 AF,reason=normal"
946686410456,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=normal"
946686410518,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=normal"
946686410518,"type=mission,x_or_task=1,y_or_landing=1,yaw=0,hex=AA FF 02 02 01 01 AF,reason=normal"
946686410556,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=normal"
946686410606,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=normal"
946686410616,"type=mission,x_or_task=1,y_or_landing=1,yaw=0,hex=AA FF 02 02 01 01 AF,reason=normal"
946686410656,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=normal"
946686410715,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=normal"
946686410715,"type=mission,x_or_task=1,y_or_landing=1,yaw=0,hex=AA FF 02 02 01 01 AF,reason=normal"
946686410756,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=normal"
946686410818,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=normal"
946686410818,"type=mission,x_or_task=1,y_or_landing=1,yaw=0,hex=AA FF 02 02 01 01 AF,reason=normal"
946686410856,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=normal"
946686410906,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=normal"
946686410917,"type=mission,x_or_task=1,y_or_landing=1,yaw=0,hex=AA FF 02 02 01 01 AF,reason=normal"
946686410956,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=normal"
946686411006,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=normal"
946686411006,"type=mission,x_or_task=1,y_or_landing=1,yaw=0,hex=AA FF 02 02 01 01 AF,reason=normal"
946686411056,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=normal"
